Age group (years),Difficult (%),Difficult
18-24,19.2,Difficult
25-34,14.9,Difficult
35-44,17.2,Difficult
45-54,16.4,Difficult
55-64,12.9,Difficult
"65 years
and over",7.9,Difficult
18-24,56.8,Usually easy
25-34,60.4,Usually easy
35-44,63.8,Usually easy
45-54,59.6,Usually easy
55-64,57.4,Usually easy
"65 years
and over",58.6,Usually easy
18-24,24,Always easy
25-34,24.7,Always easy
35-44,19,Always easy
45-54,24,Always easy
55-64,29.7,Always easy
"65 years
and over",33.5,Always easy